venom|effect|pmid
ceruletide|tachyphylaxis|11996
ceruletide|gastric secretion|11996
ceruletide|pancreatitis|2717605
ceruletide|pancreatic secretion|3438303
ceruletide|necrosis|20923958
ceruletide|obesity|20923958
ceruletide|pancreatitis|20923958
ceruletide|vacuolation|20923958
ceruletide|acute inflammation|20923958
ceruletide|acute pancreatitis|21939783
ceruletide|pancreatitis|21939783
ceruletide|acute pancreatitis|23918150
bombesin|tachyphylaxis|11996
bombesin|gastric secretion|11996
bombesin|gastric acid secretion|367854
bombesin|renal blood flow|1012339
bombesin|glomerular filtration|1012339
bombesin|hypoxia|1012339
bombesin|blood pressure|1204836
bombesin|tachyphylaxis|1204836
bombesin|vasospasm|1204836
bombesin|hypertensive disorder|1204836
bombesin|hypertension|1204836
bombesin|depression|1324941
bombesin|depressive disorder|1324941
bombesin|malignant neoplastic disease|1363977
bombesin|neoplasm, malignant (primary)|1363977
bombesin|neoplasm|1373071
bombesin|below expected growth rate|1373071
bombesin|small cell carcinoma of lung|1373071
bombesin|carcinoma|1373071
bombesin|malignant neoplastic disease|1376910
bombesin|neoplasm|1376910
bombesin|neoplasm, malignant (primary)|1376910
bombesin|carcinoma|1376910
bombesin|neoplasm|1460673
bombesin|malignant tumor of breast|1460673
bombesin|food intake|1494500
bombesin|touch sensation, function|1515936
bombesin|vocalization|1515936
bombesin|malignant tumor of pancreas|1682039
bombesin|neoplasm|1682039
bombesin|neoplasm|1682040
bombesin|neoplasm, malignant (primary)|1682040
bombesin|malignant neoplastic disease|1682040
bombesin|aging|1715085
bombesin|milk intake|1788139
bombesin|food intake|1788139
bombesin|deprivation of food|1788139
bombesin|gastric acid secretion|1923941
bombesin|gastric function|1923941
bombesin|gastric function|2033507
bombesin|gastric emptying|2033507
bombesin|hand-sch|2086245
bombesin|sch|2086245
bombesin|core body temperature|2207705
bombesin|core body temperature|2217515
bombesin|hypothermia|2217515
bombesin|food intake|2356153
bombesin|gastric secretion|2359987
bombesin|gastric acid secretion|2409424
bombesin|gastric secretion|2409424
bombesin|gastric emptying|2409425
bombesin|hypothermia|2409426
bombesin|sensation quality|2409426
bombesin|pancreatic secretion|2421268
bombesin|menstruation|2436762
bombesin|small cell carcinoma of lung|2436762
bombesin|food intake|2485250
bombesin|eating|2485250
bombesin|hand-sch|2526353
bombesin|sch|2526353
bombesin|glioma, malignant, no icd-o subtype|2538576
bombesin|vesicular stomatitis|2538576
bombesin|infection|2538576
bombesin|infectious disease|2538576
bombesin|glioma|2538576
bombesin|gastric acid secretion|2538918
bombesin|fasting|2664543
bombesin|starvation|2664543
bombesin|core body temperature|2664543
bombesin|hypothermia|2664543
bombesin|gastric acid secretion|2714571
bombesin|gastric secretion|2714571
bombesin|basal gastric acid secretion|2714571
bombesin|pancreatitis|2717605
