compound|predicate|object|pmid
bombesin|isa|tetradecapeptide|11996
bombesin|augments|gastric|11996
caerulein|affects|acidification|11996
caerulein|augments|pancreas|2717605
bombesin|causes|acute edematous pancreatitis|2717605
bombesin|part_of|rats|2717605
bombesin|augments|pancreas|2717605
caerulein|augments|pancreatic juice secretion|2717605
bombesin|isa|tetradecapeptide|2717605
bombesin|affects|growth|3438303
Bombesin|coexists_with|protein|3438303
Bombesin|coexists_with|RNA|3438303
caerulein|inhibits|amylase|3438303
bombesin|inhibits|amylase|3438303
bombesin|inhibits|lipase|3438303
caerulein|inhibits|lipase|3438303
exenatide|affects|pancreatitis|20923958
exenatide|administered_to|rats|20923958
exenatide|part_of|mice|20923958
caerulein|causes|pancreatitis|20923958
IL-1beta|isa|cytokines|20923958
IL-6|isa|cytokines|20923958
lipase|treats|rats|20923958
exenatide|inhibits|CRN|20923958
lipase|treats|rodents|20923958
exenatide|treats|pancreatitis|20923958
Exenatide|neg_causes|pancreatitis|20923958
melittin|isa|bee venom|21939783
melittin|causes|AP|21939783
cytokine|part_of|pancreatic|21939783
melittin|disrupts|cell death|21939783
melittin|disrupts|AP|21939783
bee venom|associated_with|pancreatitis|23918150
BV|interacts_with|apamin|23918150
apamin|affects|AP|23918150
apamin|associated_with|AP|23918150
apamin|stimulates|JNK|23918150
Apamin|disrupts|pancreatitis|23918150
Bombesin|treats|dogs|367854
bombesin|augments|gastric acid secretion|367854
bombesin|treats|dogs|367854
tetradecapeptide|disrupts|renal blood flow|1012339
Bombesin|augments|renin activity|1012339
bombesin|treats|dogs|1012339
bombesin|disrupts|renal blood flow|1012339
erythropoietin|treats|dog|1012339
bombesin|interacts_with|erythropoietin|1012339
Bombesin|isa|tetradecapeptide|1204836
bombesin|part_of|dogs|1204836
bombesin|causes|systemic hypertension|1204836
bombesin|causes|occlusion|1204836
bombesin|treats|dogs|1204836
bombesin|inhibits|bombesin receptors|1324941
Bombesin|causes|contraction|1324941
captopril|isa|peptidase inhibitors|1324941
bestatin|isa|peptidase inhibitors|1324941
ATP|interacts_with|purinoceptors|1324941
peptidase inhibitors|interacts_with|bombesin|1324941
bestatin|interacts_with|bombesin|1324941
captopril|interacts_with|bombesin|1324941
agonist|causes|contraction|1324941
agonist|inhibits|tachykinin|1324941
somatostatin analogues|coexists_with|agonists|1363977
somatostatin analogues|coexists_with|bombesin/GRP antagonists|1363977
RC-160|treats|prostate cancer|1363977
agonistic|treats|prostate cancer|1363977
substance P|isa|neurotransmitter|1373071
substance P|interacts_with|neuropeptide receptors|1373071
substance P|disrupts|DNA synthesis|1373071
agonist|interacts_with|luteinizing hormone-releasing hormone|1376910
bombesin antagonist|coexists_with|RC-160|1376910
EGF|isa|treatment|1376910
EGF|uses|bombesin antagonist|1376910
RC-160|coexists_with|agonists|1376910
RC-3095|disrupts|growth|1376910
bombesin|disrupts|prostate cancer|1376910
RC-3095|disrupts|growth|1460673
bombesin|interacts_with|bombesin|1460673
bombesin|interacts_with|gastrin-releasing peptide receptor|1460673
RC-3095|administered_to|mice|1460673
RC-3095|part_of|nucleolar organizer region|1460673
bombesin|disrupts|Growth|1460673
peptides|affects|neurones|1515936
peptides|interacts_with|bombesin|1515936
neuromedin C|compared_with|neuromedin B|1515936
peptides|interacts_with|neuromedin B|1515936
peptides|interacts_with|neuromedin C|1515936
agonist|stimulates|neuromedin C|1515936
Bombesin|treats|rat|1515936
luteinizing hormone-releasing hormone|disrupts|growth|1682039
bombesin antagonists|treats|hamsters|1682039
epidermal growth factor receptors|associated_with|pancreatic cancers|1682039
RC-160-II|affects|tumors|1682039
RC-3095|affects|experimental pancreatic tumors|1682039
RC-160|interacts_with|RC-3095|1682039
RC-3095|affects|tumor growth|1682040
bombesin antagonists|disrupts|colon cancer growth|1682040
bombesin/gastrin releasing peptide antagonist|disrupts|growth|1682040
cholecystokinin|part_of|pancreas|1715085
pentagastrin|part_of|pancreas|1715085
bombesin|part_of|pancreas|1715085
putrescine|isa|polyamine|1715085
spermine|isa|polyamine|1715085
spermidine|isa|polyamine|1715085
spermidine|isa|protein|1715085
putrescine|isa|protein|1715085
spermine|isa|protein|1715085
hormones|treats|rats|1715085
RNA|part_of|pancreatic|1715085
hormones|administered_to|rats|1715085
spermidine|part_of|Pancreatic|1715085
putrescine|part_of|pancreatic|1715085
CCK|treats|rats|1715085
pentagastrin|treats|rats|1715085
bombesin|treats|rats|1715085
cholecystokinin|affects|pancreas|1715085
pentagastrin|affects|pancreas|1715085
bombesin|affects|pancreas|1715085
bombesin|disrupts|food intake|1788139
BN|interacts_with|BN|1788139
BN receptor antagonist|interacts_with|BN|1788139
BN receptors|part_of|brainstem|1788139
BN|affects|food intake|1788139
bombesin|treats|rats|1923941
bombesin|affects|gastric acid output|1923941
GRP|treats|rats|1923941
pentagastrin|part_of|rats|1923941
bombesin|produces|GRP|1923941
bombesin antagonist|affects|gastric function|1923941
bombesin|neg_affects|gastric emptying|2033507
bombesin|disrupts|gastric emptying|2033507
gastrin releasing peptide|affects|gastric function|2033507
Bombesin|affects|gastric emptying|2033507
bombesin|treats|rats|2086245
bombesin|affects|core body temperature|2207705
bombesin|treats|rat|2207705
bombesin|causes|hypothermia|2217515
peptides|affects|autonomic functions|2217515
insulin|part_of|rat|2217515
Bombesin|neg_causes|hypothermia|2217515
saline|isa|injections|2356153
saline|uses|saline|2356153
CCK|treats|rats|2356153
BBS|treats|rats|2356153
bombesin|treats|dogs|2359987
peptide|affects|gastric|2359987
Bombesin|disrupts|gastric acid secretion|2409424
gastrin releasing peptide|disrupts|gastric acid secretion|2409424
bombesin|associated_with|toxicity|2409424
bombesin|disrupts|gastric acid secretion|2409424
bombesin|treats|mice|2409425
bombesin|disrupts|gastrointestinal transit|2409425
bombesin antagonist|interacts_with|peptide|2409425
peptide|augments|vagus nerve|2409425
bombesin|affects|gastrointestinal motility|2409425
ACTH|part_of|rats|2409426
Spantide|treats|rats|2409426
substance P|inhibits|bombesin receptor|2409426
CCK|interacts_with|peptide|2421268
secretin|interacts_with|peptide|2421268
bombesin|treats|rat|2421268
physalaemin|disrupts|small cell lung cancer|2436762
BN|augments|satiety|2485250
bombesin|affects|satiety|2485250
dopamine|interacts_with|BN|2526353
bombesin|isa|neuropeptides|2538576
bombesin|associated_with|CNS infection|2538576
bombesin|affects|CNS infection|2538576
bombesin receptor antagonist|inhibits|gastric acid secretion|2538918
agonist|inhibits|bombesin|2538918
bombesin antagonist|affects|gastric acid secretion|2538918
bombesin|causes|hypothermia|2664543
insulin|treats|rats|2664543
bombesin|affects|core body temperature|2664543
insulin|part_of|rats|2664543
Bombesin|causes|hypothermia|2664543
pentagastrin|augments|gastric acid secretion|2714571
baclofen|treats|rats|2714571
Bombesin|disrupts|gastric acid secretion|2714571
pentagastrin|treats|rats|2714571
pentagastrin|augments|basal gastric acid secretion|2714571
baclofen|augments|gastric acid secretion|2714571
baclofen|augments|basal gastric acid secretion|2714571
monoclonal bombesin antibody 2A11|inhibits|bombesin|2714571
pentagastrin|neg_interacts_with|bombesin|2714571
calcitonin gene-related peptide|part_of|rat|2714571
substance P|neg_affects|gastric acid secretion|2714571
bombesin|treats|rats|2714571
bombesin|disrupts|gastric acid secretion|2714571
bombesin|affects|food intake|2755870
bombesin|treats|rat|2760944
N-methyl-N'-nitro-N-nitrosoguanidine|causes|gastric cancers|2766293
bombesin|treats|Wistar rats|2766293
bombesin|treats|rats|2766293
norepinephrine|coexists_with|antral|2766293
bombesin|augments|carcinogenesis|2766293
N-methyl-N'-nitro-N-nitrosoguanidine|interacts_with|norepinephrine|2766293
N-methyl-N'-nitro-N-nitrosoguanidine|causes|carcinogenesis|2766293
bombesin|part_of|carcinogenesis|2766293
amino acid|augments|gastric|2838842
bombesin|produces|hormones|2838842
Bombesin|disrupts|growth|2838842
CCK-8|inhibits|gastric emptying|2862711
Bombesin|augments|gastric acid secretion|2862711
neuropeptides|affects|gut|2862711
ODT8-SS|interacts_with|bombesin|2864099
BBS|neg_affects|food intake|2923249
saline|isa|injection|2923249
saline|uses|saline|2923249
BBS|neg_affects|water intake|2923249
BBS|affects|food intake|2923249
bombesin|stimulates|intravenous glucose|3114028
peptide|stimulates|glucose|3114028
bombesin|augments|arterial pressure|3197861
bombesin|affects|peripheral blood flow|3197861
bombesin|affects|gastrointestinal functions|3197861
Bombesin|disrupts|food intake|3202231
BBS|treats|rats|3202231
bombesin|disrupts|food intake|3202231
epinephrine|associated_with|hyperglycemia|3215150
glucagon|associated_with|hyperglycemia|3215150
glucagon|augments|epinephrine secretion|3215150
calcitonin|isa|neuropeptides|3226951
receptors|interacts_with|peptides|3226951
bombesin|interacts_with|peptides|3226951
peptides|causes|anorexia|3226951
calcitonin|affects|Anorectic|3226951
bombesin|affects|Anorectic|3226951
neurotensin|affects|Anorectic|3226951
bombesin|treats|rats|3295797
BBS|interacts_with|BBS|3295797
atropine methylnitrate|neg_interacts_with|pressor|3384004
pentagastrin|augments|gastric|3393692
BBS|disrupts|acid secretion|3393692
BBS|compared_with|infusion|3393692
BBS|neg_affects|acid secretion|3393692
BBS|lower_than|infusion|3393692
BBS|affects|gastric acid secretion|3393692
bombesin|affects|acid secretion|3393692
bombesin|part_of|intraventricular|3430867
BS|causes|hypothermia|3430867
BS|disrupts|thermogenesis|3430867
bombesin|treats|rats|3430867
bombesin|affects|gastrointestinal transit|3432135
bombesin|affects|arterial pressure|3432135
bombesin|interacts_with|bombesin|3432135
Bombesin|neg_augments|gastric intraluminal pressure|3432135
bombesin|neg_affects|arterial pressure|3432135
bombesin|affects|gastric motility|3432135
bombesin|augments|gastric acid secretion|3437584
bombesin|affects|gastric acid secretion|3437584
bombesin|causes|gastric mucosal erosions|3513909
bombesin|compared_with|angiotensin II|3656507
bombesin|higher_than|angiotensin II|3656507
saralasin|isa|angiotensin II|3656507
bombesin|disrupts|water intake|3656507
bombesin|administered_to|sheep|3656507
Bombesin|disrupts|gastric acid secretion|3676774
bombesin|affects|gastric|3676774
bombesin|affects|gut|3676774
bombesin receptors|affects|gastric|3676774
glucagon|part_of|Pancreatic|3801925
CCK|administered_to|individual|3801925
PG|part_of|PG|3801925
CCK|augments|satiety|3801925
BBS|augments|satiety|3801925
PG|augments|satiety|3801925
glucagon|part_of|pancreatic|3801925
bombesin|affects|satiety|3801925
cholecystokinin|affects|satiety|3801925
glucagon|affects|satiety|3801925
bombesin|treats|rats|3956337
Bombesin|disrupts|gastric acid output|3956337
bombesin|augments|thoracic vertebrae|3956337
peptide|affects|hyperglycemic|3956337
bombesin|disrupts|gastric acid secretion|4007411
Bombesin|disrupts|acid secretion|4007411
peptides|affects|gastric|4007411
bombesin|disrupts|food intake|4010472
gastrin-releasing peptide|disrupts|food intake|4010472
bombesin|affects|intestinal motility|4043224
Bombesin|augments|intestinal motility|4043224
bombesin|isa|tetradecapeptide|6283491
BBS|administered_to|rats|6283491
BBS|affects|satiety|6283491
cholecystokinin|affects|food intake|6283491
BBS|affects|food intake|6283491
BBS|disrupts|food intake|6283491
BBS|treats|rat|6283491
vasoactive intestinal polypeptide|augments|gastric ulcerations|6302295
beta-endorphin|interacts_with|NT|6302295
beta-endorphin|interacts_with|bombesin|6302295
bombesin|treats|rats|6472575
bombesin|causes|cuts|6472575
bombesin|augments|gastric acid output|6472575
bombesin|causes|lesions|6472575
bombesin|causes|hypergastrinemia|6472575
bombesin|disrupts|drinking|6473174
bombesin|disrupts|gastric acid secretion|6482676
bombesin|treats|rats|6482676
bombesin|disrupts|gastrointestinal transit|6522645
bombesin|affects|gastrointestinal transit|6522645
bombesin|coexists_with|trypsin|6607137
bombesin|part_of|patients|6607137
enzymes|coexists_with|bombesin|6607137
lipase|stimulates|bombesin|6607137
alpha-amylase|stimulates|bombesin|6607137
trypsin|stimulates|bombesin|6607137
bombesin|treats|patients|6697850
bombesin|treats|chronic pancreatitis|6697850
bombesin|treats|pancreatic insufficiency|6697850
PP|treats|patients|6697850
PP|treats|chronic pancreatitis|6697850
secretin|stimulates|PP|6697850
secretin|treats|patients|6697850
secretin|treats|chronic pancreatitis|6697850
bombesin|isa|tetradecapeptide|6734843
bombesin|treats|rabbits|6734843
Bombesin|neg_affects|gastric acid secretion|6740496
CCK|treats|humans|6740496
bombesin|produces|CCK|6740496
cholecystokinin|treats|patients|6740496
bombesin|interacts_with|cholecystokinin|6740496
cholecystokinin|treats|persons|6740496
bombesin|causes|hypothermia|6855453
Bombesin|causes|hypothermia|6855453
bombesin|affects|gastric emptying|6862156
bombesin|affects|large bowel|6862156
Bombesin|disrupts|gastric emptying|6862156
bombesin|neg_affects|gastric emptying|6862156
insulin|part_of|hypothalamus|7021368
bombesin|interacts_with|insulin|7021368
bombesin|interacts_with|2-DG|7021368
bombesin|affects|secretory|7021368
bombesin|disrupts|gastric|7063751
gastrin-releasing peptide|disrupts|gastric|7063751
peptides|inhibits|2-dGlc|7063751
bombesin|treats|rats|7063751
gastrin-releasing peptide|treats|rats|7063751
bombesin|affects|food intake|7079366
met-enkephalin|interacts_with|met-enkephalin|7092351
bombesin|neg_interacts_with|naloxone|7092351
opiate receptor|interacts_with|naloxone|7092351
pancreatic polypeptide|interacts_with|opiate peptides|7092351
bombesin|disrupts|gastric|7154848
bombesin|augments|gastric|7154848
neurotensin|interacts_with|bombesin|7173320
